?land Islands, Mariehamn 
Philippines, Manila 
Qatar, Doha 
Saudi Arabia, Riyadh 
Singapore, Singapore 
South Korea, Seoul 
Sri Lanka, Colombo 
Syria, Damascus 
Taiwan, Taipei 
Tajikistan, Dushanbe 
Thailand, Bangkok 
Turkey, Ankara 
Turkmenistan, Ashgabat 
United Arab Emirates, Abu Dhabi 
Uzbekistan, Tashkent 
Vietnam, Hanoi 
Yemen, Sanaa 
Australia, Canberra 
Christmas Island, Flying Fish Cove 
Cocos (Keeling) Islands, West Island 
New Zealand, Wellington 
Norfolk Island, Kingston 
Algeria, Algiers 
Angola, Luanda 
Benin, Porto-Novo 
Botswana, Gaborone 
Burkina Faso, Ouagadougou 
Burundi, Bujumbura 
Cameroon, Yaoundé 
Cape Verde, Praia 
Central African Republic, Bangui 
Chad, N'Djamena 
Comoros, Moroni 
Democratic Republic of the Congo, Kinshasa 
Djibouti, Djibouti 
Egypt, Cairo 
Equatorial Guinea, Malabo 
Eritrea, Asmara 
Ethiopia, Addis Ababa 
Gabon, Libreville 
Gambia, Banjul 
Ghana, Accra 
Guinea, Conakry 
Guinea-Bissau, Bissau 
Ivory Coast, Yamoussoukro 
Kenya, Nairobi 
Lesotho, Maseru 
Liberia, Monrovia 
Libya, Tripoli 
Madagascar, Antananarivo 
Malawi, Lilongwe 
Mali, Bamako 
Mauritania, Nouakchott 
Mauritius, Port Louis 
Mayotte, Mamoudzou 
Morocco, Rabat 
Mozambique, Maputo 
Namibia, Windhoek 
Niger, Niamey 
Nigeria, Abuja 
Republic of the Congo, Brazzaville 
Reunion, Saint-Denis 
Rwanda, Kigali 
Saint Helena and Ascension and Tristan da Cunha, Jamestown 
Sao Tome and Principe, S?o Tomé 
Senegal, Dakar 
Seychelles, Victoria 
Sierra Leone, Freetown 
Somalia, Mogadishu 
South Africa, Pretoria 
South Sudan, Juba 
Sudan, Khartoum 
Swaziland, Mbabane 
Tanzania, Dodoma 
Togo, Lomé 
Tunisia, Tunis 
Uganda, Kampala 
Western Sahara, El Aaiún 
Zambia, Lusaka 
Zimbabwe, Harare 
American Samoa, Pago Pago 
Cook Islands, Avarua 
Fiji, Suva 
French Polynesia, Papeete 
Guam, Hag?t?a 
Kiribati, Tarawa 
Marshall Islands, Majuro 
Nauru, Yaren 
New Caledonia, Nouméa 
Niue, Alofi 
Northern Mariana Islands, Saipan 
Papua New Guinea, Port Moresby 
Pitcairn Islands, Adamstown 
Samoa, Apia 
Solomon Islands, Honiara 
Tonga, Nuku‘alofa 
Tuvalu, Funafuti 
Vanuatu, Port-Vila 
Wallis and Futuna, Mata-Utu 
